Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_status,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR4026678,RNA-Seq,GCA_000001405.13,49,1519529467,PRJNA338808,SAMN05571236,568962647,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018630,GSM2277391,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277391,Airway Epithelial cells,SRP081599
SRR4026686,RNA-Seq,GCA_000001405.13,50,1319996907,PRJNA338808,SAMN05571283,514021035,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018638,GSM2277399,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277399,Airway Epithelial cells,SRP081599
SRR4026696,RNA-Seq,GCA_000001405.13,50,1290685050,PRJNA338808,SAMN05571274,583141657,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018648,GSM2277409,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277409,Airway Epithelial cells,SRP081599
SRR4026701,RNA-Seq,GCA_000001405.13,50,2227433743,PRJNA338808,SAMN05571269,893801772,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018653,GSM2277414,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277414,Airway Epithelial cells,SRP081599
SRR4026702,RNA-Seq,GCA_000001405.13,50,2152562770,PRJNA338808,SAMN05571268,968541951,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018654,GSM2277415,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277415,Airway Epithelial cells,SRP081599
SRR4026706,RNA-Seq,GCA_000001405.13,49,814562577,PRJNA338808,SAMN05571264,227381802,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018658,GSM2277419,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277419,Airway Epithelial cells,SRP081599
SRR4026711,RNA-Seq,GCA_000001405.13,50,2376751402,PRJNA338808,SAMN05571259,985583423,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018663,GSM2277424,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277424,Airway Epithelial cells,SRP081599
SRR4026636,RNA-Seq,GCA_000001405.13,50,1392984746,PRJNA338808,SAMN05571304,666247686,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018588,GSM2277349,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277349,Airway Epithelial cells,SRP081599
SRR4026659,RNA-Seq,GCA_000001405.13,50,1435661763,PRJNA338808,SAMN05571255,606505491,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018611,GSM2277372,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277372,Airway Epithelial cells,SRP081599
SRR4026709,RNA-Seq,GCA_000001405.13,49,977464177,PRJNA338808,SAMN05571261,337346181,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018661,GSM2277422,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277422,Airway Epithelial cells,SRP081599
SRR4026629,RNA-Seq,GCA_000001405.13,50,1574706671,PRJNA338808,SAMN05571226,752171662,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018581,GSM2277342,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277342,Airway Epithelial cells,SRP081599
SRR4026638,RNA-Seq,GCA_000001405.13,49,1333924468,PRJNA338808,SAMN05571302,512006569,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018590,GSM2277351,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277351,Airway Epithelial cells,SRP081599
SRR4026666,RNA-Seq,GCA_000001405.13,50,1506906859,PRJNA338808,SAMN05571248,633711128,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018618,GSM2277379,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277379,Airway Epithelial cells,SRP081599
SRR4026655,RNA-Seq,GCA_000001405.13,50,1214290699,PRJNA338808,SAMN05571285,539782280,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018607,GSM2277368,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277368,Airway Epithelial cells,SRP081599
SRR4026656,RNA-Seq,GCA_000001405.13,50,1781599114,PRJNA338808,SAMN05571258,693765640,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018608,GSM2277369,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277369,Airway Epithelial cells,SRP081599
SRR4026699,RNA-Seq,GCA_000001405.13,50,1632292396,PRJNA338808,SAMN05571271,728006146,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018651,GSM2277412,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277412,Airway Epithelial cells,SRP081599
SRR4026637,RNA-Seq,GCA_000001405.13,50,1038111770,PRJNA338808,SAMN05571303,447882489,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018589,GSM2277350,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277350,Airway Epithelial cells,SRP081599
SRR4026697,RNA-Seq,GCA_000001405.13,50,917224810,PRJNA338808,SAMN05571273,407678735,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018649,GSM2277410,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277410,Airway Epithelial cells,SRP081599
SRR4026633,RNA-Seq,GCA_000001405.13,50,776037050,PRJNA338808,SAMN05571307,308916081,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018585,GSM2277346,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277346,Airway Epithelial cells,SRP081599
SRR4026691,RNA-Seq,GCA_000001405.13,50,1184349469,PRJNA338808,SAMN05571279,547080142,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Control,SRX2018643,GSM2277404,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277404,Airway Epithelial cells,SRP081599
SRR4026710,RNA-Seq,GCA_000001405.13,50,1817427618,PRJNA338808,SAMN05571260,817667342,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018662,GSM2277423,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277423,Airway Epithelial cells,SRP081599
SRR4026708,RNA-Seq,GCA_000001405.13,50,1275003318,PRJNA338808,SAMN05571262,535093998,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018660,GSM2277421,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277421,Airway Epithelial cells,SRP081599
SRR4026693,RNA-Seq,GCA_000001405.13,50,2119212003,PRJNA338808,SAMN05571277,913927711,Airway Epithelial cells,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Asthma,SRX2018645,GSM2277406,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-01-06T00:00:00Z,GSM2277406,Airway Epithelial cells,SRP081599
