Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,day_post-induction,Experiment,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sequencing__batch,source_name,SRA Study
SRR7868163,RNA-Seq,200,5810399000,PRJNA491651,SAMN10081427,2290359438,E50,"mesenchymal progenitors,patient2",GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",Day3,SRX4707343,B3,NN KO,GSM3393237,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393237,Set1,hiPSC,SRP161997
SRR7868164,RNA-Seq,200,5646491600,PRJNA491651,SAMN10081426,2242193735,E56,"patient2,mesenchymal progenitors",GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",Day3,SRX4707344,B3,NN KO,GSM3393238,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393238,Set1,hiPSC,SRP161997
SRR7868165,RNA-Seq,200,6322645200,PRJNA491651,SAMN10081420,2795934560,E14,"patient2,mesenchymal progenitors",GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",Day3,SRX4707345,B2,NN WT,GSM3393239,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393239,Set1,hiPSC,SRP161997
SRR7868166,RNA-Seq,200,5363976200,PRJNA491651,SAMN10081419,2312762359,E17,"mesenchymal progenitors,patient2",GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Day3,SRX4707346,B2,NN WT,GSM3393240,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393240,Set1,hiPSC,SRP161997
SRR7868167,RNA-Seq,200,5939777200,PRJNA491651,SAMN10081418,2348923503,E14,"mesenchymal progenitors,patient2",GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Day3,SRX4707347,B3,NN WT,GSM3393241,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393241,Set1,hiPSC,SRP161997
SRR7868168,RNA-Seq,200,4825295200,PRJNA491651,SAMN10081425,1891564926,E17,"mesenchymal progenitors,patient2",GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Day3,SRX4707348,B3,NN WT,GSM3393242,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393242,Set1,hiPSC,SRP161997
SRR7868169,RNA-Seq,201,5079786369,PRJNA491651,SAMN10081424,2116530234,E14,"vascular smooth muscle cells,patient2",GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",Day17,SRX4707349,D1,NN WT,GSM3393243,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393243,Set3,hiPSC,SRP161997
SRR7868170,RNA-Seq,201,5695179627,PRJNA491651,SAMN10081423,2360267416,E14,"patient2,mesenchymal progenitors",GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Day3,SRX4707350,D1,NN WT,GSM3393244,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393244,Set3,hiPSC,SRP161997
SRR7868171,RNA-Seq,201,6113362539,PRJNA491651,SAMN10081422,2542722181,E17,"mesenchymal progenitors,patient2",GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Day3,SRX4707351,D1,NN WT,GSM3393245,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393245,Set3,hiPSC,SRP161997
SRR7868172,RNA-Seq,201,5645679960,PRJNA491651,SAMN10081421,2347251377,E50,"vascular smooth muscle cells,patient2",GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Day17,SRX4707352,D1,NN KO,GSM3393246,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393246,Set3,hiPSC,SRP161997
SRR7868173,RNA-Seq,201,4607727417,PRJNA491651,SAMN10081417,1915344077,E50,"mesenchymal progenitors,patient2",GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Day3,SRX4707353,D1,NN KO,GSM3393247,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393247,Set3,hiPSC,SRP161997
SRR7868174,RNA-Seq,201,4267371303,PRJNA491651,SAMN10081416,1775541247,E56,"vascular smooth muscle cells,patient2",GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",Day17,SRX4707354,D1,NN KO,GSM3393248,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393248,Set3,hiPSC,SRP161997
SRR7868175,RNA-Seq,201,5027889576,PRJNA491651,SAMN10081415,2083424283,E56,"mesenchymal progenitors,patient2",GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Day3,SRX4707355,D1,NN KO,GSM3393249,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393249,Set3,hiPSC,SRP161997
SRR7868176,RNA-Seq,201,6345801150,PRJNA491651,SAMN10081414,2657282712,E14,"vascular smooth muscle cells,patient2",GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Day17,SRX4707356,C2,NN WT,GSM3393250,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393250,Set2,hiPSC,SRP161997
SRR7868177,RNA-Seq,201,6197697315,PRJNA491651,SAMN10081413,2607142362,E17,"patient2,vascular smooth muscle cells",GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",Day17,SRX4707357,C2,NN WT,GSM3393251,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393251,Set2,hiPSC,SRP161997
SRR7868178,RNA-Seq,201,7967929239,PRJNA491651,SAMN10081412,3325317940,E14,"vascular smooth muscle cells,patient2",GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",Day17,SRX4707358,C3,NN WT,GSM3393252,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393252,Set2,hiPSC,SRP161997
SRR7868179,RNA-Seq,201,6737466735,PRJNA491651,SAMN10081457,2804767986,E17,"vascular smooth muscle cells,patient2",GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",Day17,SRX4707359,C3,NN WT,GSM3393253,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393253,Set2,hiPSC,SRP161997
SRR7868180,RNA-Seq,201,3603864273,PRJNA491651,SAMN10081456,1504128540,Tal1_2,"mesenchymal progenitors,patient1",GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",Day17,SRX4707360,D1,RR WT,GSM3393254,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393254,Set3,hiPSC,SRP161997
SRR7868181,RNA-Seq,201,4371912408,PRJNA491651,SAMN10081455,1816260959,Tal1_2,"vascular smooth muscle cells,patient1",GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Day3,SRX4707361,D1,RR WT,GSM3393255,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393255,Set3,hiPSC,SRP161997
SRR7868182,RNA-Seq,201,3779806809,PRJNA491651,SAMN10081454,1577769635,Tal1_9,"mesenchymal progenitors,patient1",GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",Day17,SRX4707362,D2,RR KO,GSM3393256,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393256,Set3,hiPSC,SRP161997
SRR7868183,RNA-Seq,201,6159526410,PRJNA491651,SAMN10081453,2565419309,Tal1_9,"vascular smooth muscle cells,patient1",GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Day17,SRX4707363,D1,RR KO,GSM3393257,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393257,Set3,hiPSC,SRP161997
SRR7868184,RNA-Seq,201,5938857153,PRJNA491651,SAMN10081452,2466729095,Tal1_9,"vascular smooth muscle cells,patient1",GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Day3,SRX4707364,D1,RR KO,GSM3393258,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393258,Set3,hiPSC,SRP161997
SRR7868185,RNA-Seq,201,4211889675,PRJNA491651,SAMN10081451,1760305007,Tal2_3,"mesenchymal progenitors,patient1",GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",Day17,SRX4707365,D1,RR WT,GSM3393259,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393259,Set3,hiPSC,SRP161997
SRR7868186,RNA-Seq,201,4762798716,PRJNA491651,SAMN10081450,1979901632,Tal2_3,"vascular smooth muscle cells,patient1",GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Day3,SRX4707366,D1,RR WT,GSM3393260,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393260,Set3,hiPSC,SRP161997
SRR7868187,RNA-Seq,201,6010924698,PRJNA491651,SAMN10081449,2493253914,wb46,"vascular smooth muscle cells,patient1",GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",Day17,SRX4707367,D2,RR KO,GSM3393261,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393261,Set3,hiPSC,SRP161997
SRR7868188,RNA-Seq,201,4942797231,PRJNA491651,SAMN10081448,2052547428,wb46,"vascular smooth muscle cells,patient1",GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Day17,SRX4707368,D1,RR KO,GSM3393262,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393262,Set3,hiPSC,SRP161997
SRR7868189,RNA-Seq,201,4618147458,PRJNA491651,SAMN10081447,1917584721,wb46,"mesenchymal progenitors,patient1",GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Day3,SRX4707369,D1,RR KO,GSM3393263,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393263,Set3,hiPSC,SRP161997
SRR7868190,RNA-Seq,201,4591968615,PRJNA491651,SAMN10081348,1917245088,wf12,"mesenchymal progenitors,patient2",GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Day3,SRX4707370,D1,NN WT,GSM3393264,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393264,Set3,hiPSC,SRP161997
SRR7868191,RNA-Seq,201,3371162151,PRJNA491651,SAMN10081347,1404002093,wf36,"vascular smooth muscle cells,patient2",GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Day17,SRX4707371,D1,NN KO,GSM3393265,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393265,Set3,hiPSC,SRP161997
SRR7868192,RNA-Seq,201,4310593137,PRJNA491651,SAMN10081346,1794130300,wf36,"mesenchymal progenitors,patient2",GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Day3,SRX4707372,D1,NN KO,GSM3393266,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393266,Set3,hiPSC,SRP161997
SRR7868193,RNA-Seq,201,4449384843,PRJNA491651,SAMN10081345,1844418269,wf5,"patient2,vascular smooth muscle cells",GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Day17,SRX4707373,D1,NN KO,GSM3393267,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393267,Set3,hiPSC,SRP161997
SRR7868194,RNA-Seq,201,4116765219,PRJNA491651,SAMN10081344,1719250871,wf5,"patient2,mesenchymal progenitors",GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Day3,SRX4707374,D1,NN KO,GSM3393268,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393268,Set3,hiPSC,SRP161997
SRR7868195,RNA-Seq,201,4347483672,PRJNA491651,SAMN10081343,1815566595,wf9,"patient2,mesenchymal progenitors",GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",Day3,SRX4707375,D1,NN WT,GSM3393269,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,GSM3393269,Set3,hiPSC,SRP161997
