Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,embryo,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue,Cell_Line
SRR13242235,RNA-Seq,199,3669486888,PRJNA684512,SAMN17058907,1209585099,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674024,GSM4971210,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971210,Neocortex,SRP297662,Neocortex,Neural stem cell line
SRR13242236,RNA-Seq,200,4097071793,PRJNA684512,SAMN17058906,1342611200,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674025,GSM4971211,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971211,Neocortex,SRP297662,Neocortex,Neural stem cell line
SRR13242237,RNA-Seq,199,3791986397,PRJNA684512,SAMN17058905,1238065025,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674026,GSM4971212,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971212,Neocortex,SRP297662,Neocortex,Neural stem cell line
SRR13242238,RNA-Seq,200,3769874990,PRJNA684512,SAMN17058904,1230496331,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674027,GSM4971213,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971213,Neocortex,SRP297662,Neocortex,Neural stem cell line
SRR13242239,RNA-Seq,199,4227420506,PRJNA684512,SAMN17058903,1382967484,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Normal,GCGR-NS13 - 13.5 pcw,SRX9674028,GSM4971214,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971214,Neocortex,SRP297662,Neocortex,Neural stem cell line
SRR13242240,RNA-Seq,199,3525048837,PRJNA684512,SAMN17058902,1149891554,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Cancer,NA,SRX9674029,GSM4971215,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971215,pHGG,SRP297662,pHGG,Peadiatric glioblastoma cell line
SRR13242241,RNA-Seq,199,3564358338,PRJNA684512,SAMN17058901,1162738383,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Cancer,NA,SRX9674030,GSM4971216,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971216,pHGG,SRP297662,pHGG,Peadiatric glioblastoma cell line
SRR13242242,RNA-Seq,199,3671508356,PRJNA684512,SAMN17058900,1199635844,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Cancer,NA,SRX9674031,GSM4971217,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971217,pHGG,SRP297662,pHGG,Peadiatric glioblastoma cell line
SRR13242243,RNA-Seq,199,3650730993,PRJNA684512,SAMN17058899,1202941438,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Cancer,NA,SRX9674032,GSM4971218,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971218,pHGG,SRP297662,pHGG,Peadiatric glioblastoma cell line
SRR13242244,RNA-Seq,199,3573141144,PRJNA684512,SAMN17058890,1158841066,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Cancer,NA,SRX9674033,GSM4971219,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971219,pHGG,SRP297662,pHGG,Peadiatric glioblastoma cell line
SRR13242245,RNA-Seq,199,3447050894,PRJNA684512,SAMN17058889,1119521794,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Cancer,NA,SRX9674034,GSM4971220,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-03-24T00:00:00Z,GSM4971220,pHGG,SRP297662,pHGG,Peadiatric glioblastoma cell line
