Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treatment
SRR11518242,ChIP-Seq,49,1534699187,PRJNA624051,SAMN14566597,590366702,VCaP,GEO,Med1,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX8089678,GSM4462743,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462743,VCaP (prostate),SRP255862,Darolutamide
SRR11518243,ChIP-Seq,49,1684607882,PRJNA624051,SAMN14566596,651642879,VCaP,GEO,Med1,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX8089679,GSM4462744,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462744,VCaP (prostate),SRP255862,R1881
SRR11518244,ChIP-Seq,49,1478275192,PRJNA624051,SAMN14566595,569139045,VCaP,GEO,Med1,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8089680,GSM4462745,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462745,VCaP (prostate),SRP255862,R1881
SRR11518245,ChIP-Seq,49,1561708580,PRJNA624051,SAMN14566594,600924593,VCaP,GEO,Med1,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8089681,GSM4462746,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462746,VCaP (prostate),SRP255862,R1881
SRR11518246,ChIP-Seq,49,1763595155,PRJNA624051,SAMN14566593,660607195,VCaP,GEO,RNAPII,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8089682,GSM4462747,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462747,VCaP (prostate),SRP255862,Control
SRR11518247,ChIP-Seq,49,1762883374,PRJNA624051,SAMN14566592,666935113,VCaP,GEO,RNAPII,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX8089683,GSM4462748,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462748,VCaP (prostate),SRP255862,Control
SRR11518248,ChIP-Seq,49,1944654314,PRJNA624051,SAMN14566591,728948942,VCaP,GEO,RNAPII,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX8089684,GSM4462749,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462749,VCaP (prostate),SRP255862,Control
SRR11518249,ChIP-Seq,49,1446485771,PRJNA624051,SAMN14566590,542651235,VCaP,GEO,RNAPII,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX8089685,GSM4462750,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462750,VCaP (prostate),SRP255862,Darolutamide
SRR11518250,ChIP-Seq,49,1844233548,PRJNA624051,SAMN14566589,690614454,VCaP,GEO,RNAPII,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX8089686,GSM4462751,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462751,VCaP (prostate),SRP255862,Darolutamide
SRR11518251,ChIP-Seq,49,1906476769,PRJNA624051,SAMN14566588,711431428,VCaP,GEO,RNAPII,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX8089687,GSM4462752,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462752,VCaP (prostate),SRP255862,Darolutamide
SRR11518252,ChIP-Seq,49,1636067947,PRJNA624051,SAMN14566587,615400609,VCaP,GEO,RNAPII,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX8089688,GSM4462753,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462753,VCaP (prostate),SRP255862,R1881
SRR11518253,ChIP-Seq,49,1992946951,PRJNA624051,SAMN14566586,750863392,VCaP,GEO,RNAPII,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX8089689,GSM4462754,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462754,VCaP (prostate),SRP255862,R1881
SRR11518254,ChIP-Seq,49,1853946355,PRJNA624051,SAMN14566585,696099146,VCaP,GEO,RNAPII,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX8089690,GSM4462755,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462755,VCaP (prostate),SRP255862,R1881
SRR11518255,ChIP-Seq,49,1240069129,PRJNA624051,SAMN14566584,457865610,LAPC4,GEO,AR,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8089691,GSM4462756,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462756,LAPC4 (prostate),SRP255862,Control
SRR11518256,ChIP-Seq,49,1143983242,PRJNA624051,SAMN14566583,420934573,LAPC4,GEO,AR,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX8089692,GSM4462757,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462757,LAPC4 (prostate),SRP255862,Control
SRR11518257,ChIP-Seq,49,1833569991,PRJNA624051,SAMN14566582,687081886,LAPC4,GEO,AR,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8089693,GSM4462758,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462758,LAPC4 (prostate),SRP255862,Control
SRR11518258,ChIP-Seq,49,1215077758,PRJNA624051,SAMN14566581,450192820,LAPC4,GEO,AR,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX8089694,GSM4462759,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462759,LAPC4 (prostate),SRP255862,R1881
SRR11518259,ChIP-Seq,49,1296884939,PRJNA624051,SAMN14566580,487313366,LAPC4,GEO,AR,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX8089695,GSM4462760,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462760,LAPC4 (prostate),SRP255862,R1881
SRR11518260,ChIP-Seq,49,1479410549,PRJNA624051,SAMN14566579,554863899,LAPC4,GEO,AR,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8089696,GSM4462761,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462761,LAPC4 (prostate),SRP255862,R1881
SRR11518261,ChIP-Seq,49,1198650819,PRJNA624051,SAMN14566546,442257250,LAPC4,GEO,AR,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX8089697,GSM4462762,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462762,LAPC4 (prostate),SRP255862,Darolutamide
SRR11518262,ChIP-Seq,49,1381493181,PRJNA624051,SAMN14566545,518971371,LAPC4,GEO,AR,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX8089698,GSM4462763,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462763,LAPC4 (prostate),SRP255862,Darolutamide
SRR11518263,ChIP-Seq,49,1529376519,PRJNA624051,SAMN14566544,576314728,LAPC4,GEO,AR,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8089699,GSM4462764,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462764,LAPC4 (prostate),SRP255862,Darolutamide
SRR11518264,ChIP-Seq,49,1166569556,PRJNA624051,SAMN14566543,436146085,LAPC4,GEO,H3K27ac,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8089700,GSM4462765,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462765,LAPC4 (prostate),SRP255862,Control
SRR11518265,ChIP-Seq,49,1366057508,PRJNA624051,SAMN14566578,499924940,LAPC4,GEO,H3K27ac,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8089701,GSM4462766,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462766,LAPC4 (prostate),SRP255862,Control
SRR11518266,ChIP-Seq,49,1617134522,PRJNA624051,SAMN14566577,610258144,LAPC4,GEO,H3K27ac,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX8089702,GSM4462767,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462767,LAPC4 (prostate),SRP255862,Control
SRR11518267,ChIP-Seq,49,1233110846,PRJNA624051,SAMN14566576,456994349,LAPC4,GEO,H3K27ac,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX8089703,GSM4462768,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462768,LAPC4 (prostate),SRP255862,R1881
SRR11518268,ChIP-Seq,49,1054661050,PRJNA624051,SAMN14566542,393224571,LAPC4,GEO,H3K27ac,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8089704,GSM4462769,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462769,LAPC4 (prostate),SRP255862,R1881
SRR11518269,ChIP-Seq,49,1175269957,PRJNA624051,SAMN14566541,443166980,LAPC4,GEO,H3K27ac,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8089705,GSM4462770,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462770,LAPC4 (prostate),SRP255862,R1881
SRR11518270,ChIP-Seq,49,1429259966,PRJNA624051,SAMN14566540,532681361,LAPC4,GEO,H3K27ac,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX8089706,GSM4462771,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462771,LAPC4 (prostate),SRP255862,Darolutamide
SRR11518271,ChIP-Seq,49,1657169694,PRJNA624051,SAMN14566539,620975075,LAPC4,GEO,H3K27ac,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8089707,GSM4462772,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462772,LAPC4 (prostate),SRP255862,Darolutamide
SRR11518272,ChIP-Seq,49,1273937352,PRJNA624051,SAMN14566538,470274140,LAPC4,GEO,H3K27ac,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8089708,GSM4462773,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462773,LAPC4 (prostate),SRP255862,Darolutamide
SRR11518273,ChIP-Seq,49,1549766407,PRJNA624051,SAMN14566537,569173160,LAPC4,GEO,H3K4me1,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX8089709,GSM4462774,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462774,LAPC4 (prostate),SRP255862,Control
SRR11518274,ChIP-Seq,49,1640727225,PRJNA624051,SAMN14566536,600886967,LAPC4,GEO,H3K4me1,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8089710,GSM4462775,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462775,LAPC4 (prostate),SRP255862,Control
SRR11518275,ChIP-Seq,49,1582466451,PRJNA624051,SAMN14566535,580946830,LAPC4,GEO,H3K4me1,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8089711,GSM4462776,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462776,LAPC4 (prostate),SRP255862,Control
SRR11518276,ChIP-Seq,49,1874126385,PRJNA624051,SAMN14566534,688907273,LAPC4,GEO,H3K4me1,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8089712,GSM4462777,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462777,LAPC4 (prostate),SRP255862,Darolutamide
SRR11518277,ChIP-Seq,49,1674937396,PRJNA624051,SAMN14566533,612293378,LAPC4,GEO,H3K4me1,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX8089713,GSM4462778,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462778,LAPC4 (prostate),SRP255862,Darolutamide
SRR11518278,ChIP-Seq,49,1640569017,PRJNA624051,SAMN14566532,603052368,LAPC4,GEO,H3K4me1,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX8089714,GSM4462779,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462779,LAPC4 (prostate),SRP255862,Darolutamide
SRR11518279,ChIP-Seq,49,1938334459,PRJNA624051,SAMN14566531,712647894,LAPC4,GEO,H3K4me1,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8089715,GSM4462780,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462780,LAPC4 (prostate),SRP255862,R1881
SRR11518280,ChIP-Seq,49,1983101379,PRJNA624051,SAMN14566530,727313815,LAPC4,GEO,H3K4me1,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX8089716,GSM4462781,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462781,LAPC4 (prostate),SRP255862,R1881
SRR11518281,ChIP-Seq,49,1529285725,PRJNA624051,SAMN14566529,559929124,LAPC4,GEO,H3K4me1,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX8089717,GSM4462782,Illumina HiSeq 2500,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-14T00:00:00Z,GSM4462782,LAPC4 (prostate),SRP255862,R1881
