,Run,antibody_used,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treatment,geo_id,chip_antibody,differentiation_time_point,msc_donor,donor_id,passage,Biomaterial_provider,disease_state,tissue,Antibody,Condition,replicate,antibody,controls,selected,is_sample,peak_width,has_disease
47,SRR11077439,,ChIP-Seq,40,1824714920,PRJNA606462,SAMN14091480,1034124272,,pachytene spermatocytes,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX7716742,GSM4308651,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-06T00:00:00Z,GSM4308651,adult testis,SRP248935,,GSE145225,"H3K27ac (Abcam\, ab4729)",,,,,,,,,,,H3K27ac,"['SRR11077440', 'SRR11077443']",1,True,narrow,
48,SRR11077440,,ChIP-Seq,40,3963709520,PRJNA606462,SAMN14091479,2464516407,,pachytene spermatocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX7716743,GSM4308652,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-06T00:00:00Z,GSM4308652,adult testis,SRP248935,,GSE145225,none,,,,,,,,,,,input,"['SRR11077440', 'SRR11077443']",1,False,,
49,SRR11077441,,ChIP-Seq,40,2080058200,PRJNA606462,SAMN14091478,1167288496,,round spermatids,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7716744,GSM4308653,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-06T00:00:00Z,GSM4308653,adult testis,SRP248935,,GSE145225,"H3K4me1 (Abcam\, ab8995)",,,,,,,,,,,H3K4me1,"['SRR11077440', 'SRR11077443']",1,True,broad,
50,SRR11077442,,ChIP-Seq,40,1338704920,PRJNA606462,SAMN14091477,752092406,,round spermatids,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX7716745,GSM4308654,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-06T00:00:00Z,GSM4308654,adult testis,SRP248935,,GSE145225,"H3K27ac (Abcam\, ab4729)",,,,,,,,,,,H3K27ac,"['SRR11077440', 'SRR11077443']",1,True,narrow,
51,SRR11077443,,ChIP-Seq,40,3515237200,PRJNA606462,SAMN14091476,2184242181,,round spermatids,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7716746,GSM4308655,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-04-06T00:00:00Z,GSM4308655,adult testis,SRP248935,,GSE145225,none,,,,,,,,,,,input,"['SRR11077440', 'SRR11077443']",1,False,,
52,SRR10344750,,ChIP-Seq,50,1365037100,PRJNA579487,SAMN13112361,571309939,,human aortic endothelial cell,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7054855,GSM4139479,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139479,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor1,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
53,SRR10344751,,ChIP-Seq,50,711576050,PRJNA579487,SAMN13112360,261704788,,human aortic endothelial cell,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7054856,GSM4139480,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139480,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor2,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
54,SRR10344752,,ChIP-Seq,50,1506502250,PRJNA579487,SAMN13112359,568380381,,human aortic endothelial cell,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7054857,GSM4139481,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139481,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor3,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
55,SRR10344753,,ChIP-Seq,50,1419399500,PRJNA579487,SAMN13112358,514280575,,human aortic endothelial cell,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7054858,GSM4139482,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139482,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor4,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
56,SRR10344754,,ChIP-Seq,50,1850176400,PRJNA579487,SAMN13112357,719303714,,human aortic endothelial cell,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX7054859,GSM4139483,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139483,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor5,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
57,SRR10344755,,ChIP-Seq,50,1556747450,PRJNA579487,SAMN13112356,622150502,,human aortic endothelial cell,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7054860,GSM4139484,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139484,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor7,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
58,SRR10344756,,ChIP-Seq,50,1325423750,PRJNA579487,SAMN13112355,537741221,,human aortic endothelial cell,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7054861,GSM4139485,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139485,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor9,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
59,SRR10344757,,ChIP-Seq,50,1069418850,PRJNA579487,SAMN13112354,428785557,,human aortic endothelial cell,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7054862,GSM4139486,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139486,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor10,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
60,SRR10344758,,ChIP-Seq,50,1203225150,PRJNA579487,SAMN13112352,476086864,,human aortic endothelial cell,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7054863,GSM4139487,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139487,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor11,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
61,SRR10344759,,ChIP-Seq,50,792824700,PRJNA579487,SAMN13112351,292052161,,human aortic endothelial cell,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7054864,GSM4139488,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139488,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor13,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
62,SRR10344760,,ChIP-Seq,50,1495628600,PRJNA579487,SAMN13112350,602338011,,human aortic endothelial cell,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7054913,GSM4139489,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139489,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor14,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
63,SRR10344761,,ChIP-Seq,50,924411550,PRJNA579487,SAMN13112349,374089249,,human aortic endothelial cell,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX7054914,GSM4139490,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139490,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor16,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
64,SRR10344762,,ChIP-Seq,50,688186650,PRJNA579487,SAMN13112348,290981878,,human aortic endothelial cell,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX7054915,GSM4139491,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139491,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor17,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
65,SRR10344763,,ChIP-Seq,50,1083570700,PRJNA579487,SAMN13112347,392100568,,human aortic endothelial cell,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7054916,GSM4139492,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139492,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor18,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
66,SRR10344764,,ChIP-Seq,50,531387150,PRJNA579487,SAMN13112386,208941211,,human aortic endothelial cell,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7054917,GSM4139493,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139493,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor19,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
67,SRR10344765,,ChIP-Seq,50,1310620150,PRJNA579487,SAMN13112353,480768217,,human aortic endothelial cell,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7054918,GSM4139494,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139494,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor21,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
68,SRR10344766,,ChIP-Seq,50,813811100,PRJNA579487,SAMN13112385,303450746,,human aortic endothelial cell,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7054919,GSM4139495,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139495,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor22,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
69,SRR10344767,,ChIP-Seq,50,1290943550,PRJNA579487,SAMN13112384,496873005,,human aortic endothelial cell,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7054920,GSM4139496,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139496,human aortic endothelial cell_untreated_h327ac,SRP226959,untreated,GSE139377,Active Motif #39135,,,donor22,6 to 10,,,,,,,input,"['SRR10344750', 'SRR10344751', 'SRR10344752', 'SRR10344753', 'SRR10344754', 'SRR10344755', 'SRR10344756', 'SRR10344757', 'SRR10344758', 'SRR10344759', 'SRR10344760', 'SRR10344761', 'SRR10344762', 'SRR10344763', 'SRR10344764', 'SRR10344765', 'SRR10344766', 'SRR10344767', 'SRR10344768', 'SRR10344769', 'SRR10344770', 'SRR10344771', 'SRR10344772', 'SRR10344773', 'SRR10344774', 'SRR10344775', 'SRR10344776', 'SRR10344777', 'SRR10344778', 'SRR10344779', 'SRR10344780', 'SRR10344781', 'SRR10344782', 'SRR10344783', 'SRR10344784', 'SRR10344785', 'SRR10344786', 'SRR10344787', 'SRR10344788', 'SRR10344789', 'SRR10344790', 'SRR10344791', 'SRR10344792', 'SRR10344793', 'SRR10344794', 'SRR10344795', 'SRR10344796', 'SRR10344797']",1,False,,
