Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Cell_type,donor_id,passage,source_name,treatment,chip_antibody
SRR10344808,ChIP-Seq,50,1503699300,PRJNA579487,SAMN13112421,570943595,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7054801,GSM4139537,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139537,SRP226959,human aortic endothelial cell,donor13,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344809,ChIP-Seq,50,887614450,PRJNA579487,SAMN13112420,358130958,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7054802,GSM4139538,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139538,SRP226959,human aortic endothelial cell,donor14,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344810,ChIP-Seq,50,1310761350,PRJNA579487,SAMN13112419,518406213,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7054803,GSM4139539,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139539,SRP226959,human aortic endothelial cell,donor15,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344814,ChIP-Seq,50,643622800,PRJNA579487,SAMN13112415,251850324,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7054807,GSM4139543,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139543,SRP226959,human aortic endothelial cell,donor19,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344815,ChIP-Seq,50,1354410000,PRJNA579487,SAMN13112414,510490257,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7054808,GSM4139544,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139544,SRP226959,human aortic endothelial cell,donor21,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344816,ChIP-Seq,50,1354361450,PRJNA579487,SAMN13112413,514597541,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7054809,GSM4139545,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139545,SRP226959,human aortic endothelial cell,donor22,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344817,ChIP-Seq,50,578061350,PRJNA579487,SAMN13112412,232238187,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX7054810,GSM4139546,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139546,SRP226959,human aortic endothelial cell,donor23,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344818,ChIP-Seq,50,642460250,PRJNA579487,SAMN13112411,242481225,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX7054811,GSM4139547,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139547,SRP226959,human aortic endothelial cell,donor24,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344819,ChIP-Seq,50,533511100,PRJNA579487,SAMN13112410,202586361,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7054812,GSM4139548,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139548,SRP226959,human aortic endothelial cell,donor25,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344820,ChIP-Seq,50,559398800,PRJNA579487,SAMN13112438,210171965,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7054813,GSM4139549,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139549,SRP226959,human aortic endothelial cell,donor25,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344821,ChIP-Seq,50,457067350,PRJNA579487,SAMN13112409,184533252,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX7054814,GSM4139550,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139550,SRP226959,human aortic endothelial cell,donor26,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344822,ChIP-Seq,50,748741400,PRJNA579487,SAMN13112408,272217559,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7054815,GSM4139551,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139551,SRP226959,human aortic endothelial cell,donor29,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344823,ChIP-Seq,50,963944600,PRJNA579487,SAMN13112407,350762430,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7054816,GSM4139552,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139552,SRP226959,human aortic endothelial cell,donor30,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344824,ChIP-Seq,50,1582500500,PRJNA579487,SAMN13112441,583630362,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7054865,GSM4139553,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139553,SRP226959,human aortic endothelial cell,donor31,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344825,ChIP-Seq,50,1023167400,PRJNA579487,SAMN13112440,387526529,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7054866,GSM4139554,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139554,SRP226959,human aortic endothelial cell,donor32,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344826,ChIP-Seq,50,677033350,PRJNA579487,SAMN13112439,274077889,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7054867,GSM4139555,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139555,SRP226959,human aortic endothelial cell,donor33,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344827,ChIP-Seq,50,766375900,PRJNA579487,SAMN13112437,287290157,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7054868,GSM4139556,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139556,SRP226959,human aortic endothelial cell,donor35,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344828,ChIP-Seq,50,1473344200,PRJNA579487,SAMN13112436,549005202,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7054869,GSM4139557,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139557,SRP226959,human aortic endothelial cell,donor36,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344829,ChIP-Seq,50,960198650,PRJNA579487,SAMN13112435,368047546,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX7054870,GSM4139558,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139558,SRP226959,human aortic endothelial cell,donor37,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344830,ChIP-Seq,50,1029555800,PRJNA579487,SAMN13112434,393258243,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX7054871,GSM4139559,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139559,SRP226959,human aortic endothelial cell,donor38,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344831,ChIP-Seq,50,1586840750,PRJNA579487,SAMN13112433,601591545,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7054872,GSM4139560,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139560,SRP226959,human aortic endothelial cell,donor39,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344832,ChIP-Seq,50,1947901000,PRJNA579487,SAMN13112497,759945105,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7054873,GSM4139561,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139561,SRP226959,human aortic endothelial cell,donor40,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344833,ChIP-Seq,50,765374200,PRJNA579487,SAMN13112496,288319896,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7054874,GSM4139562,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139562,SRP226959,human aortic endothelial cell,donor41,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344834,ChIP-Seq,50,929633450,PRJNA579487,SAMN13112495,343084994,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX7054875,GSM4139563,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139563,SRP226959,human aortic endothelial cell,donor43,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344835,ChIP-Seq,50,1382523850,PRJNA579487,SAMN13112494,522089004,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7054876,GSM4139564,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139564,SRP226959,human aortic endothelial cell,donor44,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344836,ChIP-Seq,50,915912000,PRJNA579487,SAMN13112493,369069391,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7054877,GSM4139565,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139565,SRP226959,human aortic endothelial cell,donor45,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344837,ChIP-Seq,50,463735300,PRJNA579487,SAMN13112492,176403518,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX7054878,GSM4139566,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139566,SRP226959,human aortic endothelial cell,donor47,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344838,ChIP-Seq,50,731864250,PRJNA579487,SAMN13112491,297659641,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7054879,GSM4139567,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139567,SRP226959,human aortic endothelial cell,donor49,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344839,ChIP-Seq,50,713119900,PRJNA579487,SAMN13112490,295601332,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7054880,GSM4139568,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139568,SRP226959,human aortic endothelial cell,donor51,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344840,ChIP-Seq,50,414350950,PRJNA579487,SAMN13112489,167658913,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7054929,GSM4139569,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139569,SRP226959,human aortic endothelial cell,donor52,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR10344841,ChIP-Seq,50,1579882450,PRJNA579487,SAMN13112488,573606516,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX7054930,GSM4139570,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4139570,SRP226959,human aortic endothelial cell,donor53,6 to 10,human aortic endothelial cell_IL-1B treated_h327ac,IL-1B treated,Active Motif #39135
SRR11484191,ChIP-Seq,50,2092731100,PRJNA579487,SAMN14541855,828662627,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX8060326,GSM4454078,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4454078,SRP226959,human aortic endothelial cell,donor11,6 to 10,human aortic endothelial cell_IL-1B treated_input,IL-1B treated,none; input
SRR11484192,ChIP-Seq,50,2962004800,PRJNA579487,SAMN14541854,1241435083,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8060327,GSM4454079,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4454079,SRP226959,human aortic endothelial cell,donor12,6 to 10,human aortic endothelial cell_IL-1B treated_input,IL-1B treated,none; input
SRR11484193,ChIP-Seq,50,623588500,PRJNA579487,SAMN14541853,241374017,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8060328,GSM4454080,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4454080,SRP226959,human aortic endothelial cell,donor13,6 to 10,human aortic endothelial cell_IL-1B treated_input,IL-1B treated,none; input
SRR11484200,ChIP-Seq,50,1069211200,PRJNA579487,SAMN14541846,388461623,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX8060335,GSM4454087,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4454087,SRP226959,human aortic endothelial cell,donor18,6 to 10,human aortic endothelial cell_Untreated_input,Untreated,none; input
SRR11484214,ChIP-Seq,50,1815821350,PRJNA579487,SAMN14541859,656272631,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8060349,GSM4454101,Illumina HiSeq 4000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2020-06-02T00:00:00Z,GSM4454101,SRP226959,human aortic endothelial cell,donor30,6 to 10,human aortic endothelial cell_Untreated_input,Untreated,none; input
