Run,Antibody,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,disease,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue
SRR8575277,-,ChIP-Seq,50,1022778200,PRJNA522418,SAMN10936272,517659971,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376085,GSM3605981,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605981,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575278,-,ChIP-Seq,50,1765883050,PRJNA522418,SAMN10936271,634447678,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376086,GSM3605983,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605983,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575279,-,ChIP-Seq,50,1273009500,PRJNA522418,SAMN10936270,819702834,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376087,GSM3605985,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605985,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575280,-,ChIP-Seq,50,1238074650,PRJNA522418,SAMN10936269,756858172,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376088,GSM3605986,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605986,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575281,-,ChIP-Seq,50,1303743100,PRJNA522418,SAMN10936239,821995098,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376089,GSM3605988,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605988,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575282,-,ChIP-Seq,50,2997249900,PRJNA522418,SAMN10936232,1953128666,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376090,GSM3605990,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605990,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575283,-,ChIP-Seq,50,1290868450,PRJNA522418,SAMN10936231,807845874,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376091,GSM3605992,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605992,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575284,-,ChIP-Seq,50,1347243800,PRJNA522418,SAMN10936238,848172987,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376092,GSM3605994,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605994,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575285,-,ChIP-Seq,50,1498305150,PRJNA522418,SAMN10936237,901318235,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376093,GSM3605996,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605996,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575286,-,ChIP-Seq,50,1124807900,PRJNA522418,SAMN10936236,724098577,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376094,GSM3605997,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605997,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575287,-,ChIP-Seq,50,1482808550,PRJNA522418,SAMN10936235,950409887,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376095,GSM3605999,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3605999,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575288,-,ChIP-Seq,50,1532167500,PRJNA522418,SAMN10936234,1035484858,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376096,GSM3606001,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3606001,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575289,-,ChIP-Seq,50,1249402450,PRJNA522418,SAMN10936233,595332161,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376097,GSM3606002,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3606002,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575290,-,ChIP-Seq,50,1523435950,PRJNA522418,SAMN10936230,983165189,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376098,GSM3606004,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3606004,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575291,-,ChIP-Seq,50,1204033750,PRJNA522418,SAMN10936229,572801483,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376099,GSM3606006,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3606006,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575292,-,ChIP-Seq,50,1204019400,PRJNA522418,SAMN10936228,565195811,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376100,GSM3606007,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3606007,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575293,-,ChIP-Seq,50,934779250,PRJNA522418,SAMN10936227,452646860,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376101,GSM3606009,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3606009,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575294,-,ChIP-Seq,50,1216383500,PRJNA522418,SAMN10936226,567469271,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",adult,idiopathic dilated cardiomyopathy (DCM),SRX5376102,GSM3606011,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3606011,"adult left ventricle\, input ChIP",SRP185901,left ventricle
SRR8575295,-,ChIP-Seq,50,1160025700,PRJNA522418,SAMN10936225,540250383,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",CS22,-,SRX5376103,GSM3606013,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3606013,"embryonic heart\, input ChIP",SRP185901,heart
SRR8575296,-,ChIP-Seq,50,1036280500,PRJNA522418,SAMN10936224,455649866,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",PCW10,-,SRX5376104,GSM3606015,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3606015,"fetal heart\, input ChIP",SRP185901,heart
SRR8575297,-,ChIP-Seq,50,1188156700,PRJNA522418,SAMN10936223,525427083,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",PCW10,-,SRX5376105,GSM3606016,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3606016,"fetal heart\, input ChIP",SRP185901,heart
SRR8575298,-,ChIP-Seq,50,1523996050,PRJNA522418,SAMN10936222,752399305,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",PCW10,-,SRX5376106,GSM3606018,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3606018,"fetal heart\, input ChIP",SRP185901,heart
SRR8575299,-,ChIP-Seq,50,1061500250,PRJNA522418,SAMN10936221,536831356,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",PCW17,-,SRX5376107,GSM3606020,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2019-04-02T00:00:00Z,GSM3606020,"fetal left ventricle\, input ChIP",SRP185901,left ventricle
